environment,framework,success_rate_pct,steps,api_calls,tokens
BoxNet1,CMAS,60.0,11,1,785
BoxNet1,CMAS,80.0,12,1,810
BoxNet1,CMAS,60.0,12,1,810
BoxNet1,CMAS,80.0,8,1,709
BoxNet1,CMAS,80.0,8,1,710
BoxNet1,DMAS,0.0,8,24,655
BoxNet1,DMAS,0.0,8,24,623
BoxNet1,DMAS,0.0,8,24,655
BoxNet1,DMAS,0.0,8,24,655
BoxNet1,DMAS,0.0,9,24,601
BoxNet1,HMAS‑1,80.0,8,9,3784
BoxNet1,HMAS‑1,80.0,11,9,4161
BoxNet1,HMAS‑1,80.0,8,9,3777
BoxNet1,HMAS‑1,80.0,10,9,3211
BoxNet1,HMAS‑1,80.0,10,9,3211
BoxNet1,HMAS‑2,40.0,8,46,10611
BoxNet1,HMAS‑2,60.0,10,46,10548
BoxNet1,HMAS‑2,40.0,12,46,10258
BoxNet1,HMAS‑2,60.0,8,46,10339
BoxNet1,HMAS‑2,40.0,9,36,7030
BoxNet1,ETP,60.0,8,2,1443
BoxNet1,ETP,80.0,7,1,710
BoxNet1,ETP,80.0,7,1,780
BoxNet1,ETP,80.0,7,1,773
BoxNet1,ETP,80.0,8,2,1636
BoxNet2,CMAS,100.0,20,1,1222
BoxNet2,CMAS,100.0,21,1,1220
BoxNet2,CMAS,60.0,17,1,1134
BoxNet2,CMAS,100.0,22,1,1254
BoxNet2,CMAS,100.0,20,1,1222
BoxNet2,DMAS,0.0,8,24,1149
BoxNet2,DMAS,0.0,9,24,1109
BoxNet2,DMAS,0.0,8,24,1179
BoxNet2,DMAS,0.0,9,24,1300
BoxNet2,DMAS,0.0,8,24,1199
BoxNet2,HMAS‑1,80.0,23,9,6471
BoxNet2,HMAS‑1,60.0,16,9,6124
BoxNet2,HMAS‑1,60.0,18,9,6276
BoxNet2,HMAS‑1,100.0,26,9,6716
BoxNet2,HMAS‑1,100.0,19,9,5938
BoxNet2,HMAS‑2,0.0,9,36,7614
BoxNet2,HMAS‑2,100.0,15,9,1819
BoxNet2,HMAS‑2,20.0,10,36,7429
BoxNet2,HMAS‑2,20.0,9,27,5574
BoxNet2,HMAS‑2,40.0,9,27,5513
BoxNet2,ETP,100.0,12,2,2206
BoxNet2,ETP,100.0,8,2,1929
BoxNet2,ETP,100.0,8,2,2014
BoxNet2,ETP,100.0,8,2,2157
BoxNet2,ETP,80.0,14,1,1023
